Team,points-per-game,average-scoring-margin,field-goals-made-per-game,field-goals-attempted-per-game,offensive-efficiency,defensive-efficiency,effective-possession-ratio,effective-field-goal-pct,true-shooting-percentage,three-point-pct,two-point-pct,free-throw-pct,three-pointers-made-per-game,three-pointers-attempted-per-game,offensive-rebounds-per-game,defensive-rebounds-per-game,total-rebounds-per-game,offensive-rebounding-pct,defensive-rebounding-pct,total-rebounding-percentage,blocks-per-game,steals-per-game,assists-per-game,turnovers-per-game,assist--per--turnover-ratio,win-pct-all-games,win-pct-close-games,possessions-per-game,personal-fouls-per-game,opponent-points-per-game,opponent-average-scoring-margin,opponent-shooting-pct,opponent-effective-field-goal-pct,opponent-true-shooting-percentage,opponent-three-point-pct,opponent-two-point-pct,opponent-free-throw-pct,opponent-assists-per-game,opponent-turnovers-per-game,opponent-assist--per--turnover-ratio,opponent-offensive-rebounds-per-game,opponent-defensive-rebounds-per-game,opponent-total-rebounds-per-game,opponent-offensive-rebounding-pct,opponent-defensive-rebounding-pct,opponent-blocks-per-game,opponent-steals-per-game,opponent-effective-possession-ratio
Manhattan,69.9,-3.8,23.9,55.0,0.977,1.03,0.922,48.3,106.2,29.9,50.0,73.6,5.4,18.1,8.8,21.7,33.2,28.2,71.4,49.5,3.4,6.9,11.1,14.4,0.77,0.483,0.857,71.6,18.1,73.7,3.8,46.6,52.2,110.8,33.9,52.9,71.1,14.9,13.9,1.067,8.7,22.3,34.0,28.6,71.8,2.6,7.6,0.927
Detroit,69.9,-1.3,24.8,56.8,1.051,1.071,0.948,52.6,111.0,36.9,50.1,77.9,10.2,27.8,8.2,20.2,31.1,26.8,70.9,48.5,1.8,5.8,11.8,11.7,1.003,0.448,0.25,66.5,15.6,71.2,1.3,47.1,54.4,114.1,35.3,55.4,71.6,14.8,12.4,1.191,8.3,22.5,33.1,29.1,73.2,2.0,6.0,0.938
Central FL,69.8,1.6,24.7,58.3,0.998,0.975,0.95,49.9,105.5,35.0,47.9,70.3,8.8,25.1,9.6,22.8,35.2,29.8,71.8,49.7,3.7,7.0,14.5,13.0,1.113,0.6,0.5,70.0,15.7,68.2,-1.6,42.3,48.7,104.7,31.2,50.0,73.7,13.3,14.1,0.939,9.0,22.5,35.6,28.2,70.2,3.3,7.1,0.926
Hartford,69.8,-2.3,25.0,55.6,1.015,1.049,0.915,53.3,111.1,36.9,51.5,69.0,9.3,25.1,6.3,23.4,32.4,21.3,73.8,48.3,3.2,6.0,12.2,12.2,1.0,0.375,0.4,68.8,15.0,72.2,2.3,44.8,51.6,109.3,35.7,50.4,72.8,12.4,11.1,1.115,8.3,23.4,34.7,26.2,78.7,2.9,6.6,0.96
Georgia,69.8,-8.7,23.8,53.9,0.979,1.101,0.89,50.2,109.3,32.1,51.3,74.7,6.4,19.9,6.6,22.7,32.7,22.3,70.9,48.4,2.2,5.2,13.9,14.4,0.961,0.188,0.167,71.3,15.0,78.5,8.7,47.4,54.6,113.4,34.9,56.1,71.6,16.5,11.0,1.507,9.3,23.0,34.8,29.1,77.7,5.0,7.8,0.977
Bradley,69.8,4.6,25.6,57.7,1.007,0.941,0.944,51.1,107.0,34.1,51.1,68.5,7.8,22.8,9.7,25.8,38.2,30.8,78.8,54.4,4.5,6.2,13.4,13.5,0.988,0.533,0.333,69.3,16.9,65.2,-4.6,40.8,46.9,101.7,32.2,46.1,74.4,10.0,12.4,0.811,7.0,21.7,31.9,21.2,69.2,2.2,7.3,0.922
S Car State,69.8,-4.6,24.5,64.1,0.921,0.982,0.975,43.3,94.5,30.6,42.1,69.5,6.5,21.1,12.8,24.0,40.3,32.9,73.5,51.2,3.6,6.3,11.4,14.8,0.77,0.429,0.6,75.7,19.8,74.4,4.6,43.0,49.9,107.1,35.7,47.7,70.1,14.2,14.9,0.952,8.6,26.1,38.4,26.5,67.1,3.9,6.9,0.917
Kent State,69.8,2.9,24.4,56.3,1.013,0.971,0.949,49.8,107.3,32.5,50.5,74.6,7.3,22.3,8.9,22.8,35.2,29.5,75.7,52.4,3.5,6.8,12.0,12.4,0.962,0.656,0.6,68.8,18.3,66.8,-2.9,42.2,49.0,105.4,31.7,50.1,70.7,11.9,13.1,0.907,7.3,21.3,32.0,24.3,70.5,2.5,6.6,0.916
Utah,69.7,-1.2,24.3,58.0,1.002,1.018,0.946,48.4,105.1,33.5,47.3,77.4,7.6,22.8,8.5,24.4,36.3,26.2,73.3,50.2,2.9,4.6,13.5,12.3,1.1,0.355,0.333,69.6,16.5,70.9,1.2,43.6,49.4,104.7,32.9,49.4,70.5,13.1,10.3,1.272,8.9,23.9,36.0,26.7,73.8,3.6,6.2,0.98
Neb Omaha,69.7,-14.7,25.2,58.4,0.963,1.166,0.918,49.3,105.1,35.8,46.9,73.1,7.2,20.0,7.8,22.9,32.6,23.0,71.8,46.6,2.6,4.6,10.9,13.8,0.794,0.138,0.4,72.4,19.4,84.4,14.7,48.5,56.3,118.9,39.9,54.0,73.4,14.2,10.5,1.359,9.0,26.1,37.3,28.2,77.0,2.9,6.5,0.98
Utah Val St,69.7,4.0,24.5,54.3,0.992,0.936,0.914,50.6,108.6,36.8,48.6,70.9,6.0,16.3,9.2,27.7,39.7,30.0,77.1,55.4,4.3,5.3,14.2,15.2,0.93,0.6,0.333,70.2,16.8,65.7,-4.0,40.1,45.4,97.1,29.0,46.6,67.9,12.2,10.7,1.14,8.2,21.4,31.9,22.9,70.0,3.2,7.6,0.964
S Carolina,69.7,-1.2,25.5,61.0,0.939,0.956,0.938,47.3,100.3,31.3,47.4,67.1,6.6,21.2,10.8,22.6,37.6,31.8,69.3,50.5,4.9,7.8,13.5,15.5,0.871,0.567,0.857,74.2,19.8,70.9,1.2,41.5,47.2,103.2,31.9,46.9,70.1,13.2,15.5,0.852,10.0,23.3,36.8,30.7,68.2,3.3,8.4,0.925
Mercer,69.6,-2.3,24.6,54.2,1.035,1.068,0.918,52.9,112.8,35.3,52.9,77.5,8.1,23.0,6.6,22.0,32.3,23.3,73.9,50.1,2.8,5.6,14.0,12.2,1.149,0.452,0.444,67.3,15.5,71.9,2.3,45.5,52.8,111.3,34.9,53.2,72.7,13.4,10.5,1.277,7.8,21.7,32.2,26.1,76.7,2.8,6.9,0.96
W Carolina,69.6,-8.6,24.2,60.7,0.979,1.1,0.965,47.9,101.3,31.3,48.9,67.7,9.7,31.1,9.9,24.1,36.7,27.6,72.9,49.1,2.3,4.8,12.5,12.4,1.01,0.323,0.75,71.1,16.9,78.2,8.6,45.0,53.2,111.8,36.0,52.7,71.7,14.8,10.0,1.477,9.0,25.9,38.1,27.1,72.4,3.4,6.3,0.985
Harvard,69.6,-0.5,25.7,60.2,0.974,0.981,0.94,49.6,103.6,32.6,50.0,67.3,8.3,25.3,7.9,23.3,34.2,23.3,78.6,49.1,2.2,7.2,10.9,12.2,0.89,0.435,0.333,71.4,16.5,70.0,0.5,44.8,52.1,110.9,37.1,49.8,73.2,12.4,14.5,0.859,6.3,26.0,35.4,21.4,76.7,3.3,6.2,0.886
S Alabama,69.6,3.8,25.5,55.5,1.009,0.953,0.921,52.0,109.4,34.2,52.3,69.8,6.7,19.4,7.6,22.7,32.9,25.2,70.7,48.6,4.8,6.6,11.7,13.0,0.899,0.586,0.455,68.9,16.8,65.7,-3.8,41.3,47.6,102.4,32.5,46.8,72.3,12.6,14.1,0.897,9.4,22.4,34.8,29.3,74.8,2.5,5.8,0.932
Prairie View,69.5,-6.8,24.0,56.1,0.933,1.025,0.891,48.4,104.7,34.5,46.8,70.3,6.3,18.3,9.3,22.0,35.0,30.0,67.3,49.2,3.1,8.5,11.4,17.4,0.656,0.296,0.333,74.5,21.2,76.3,6.8,44.7,51.0,108.7,35.7,49.6,66.6,12.7,15.0,0.849,10.7,21.8,36.2,32.7,70.0,4.0,8.7,0.942
St Marys,69.5,8.2,26.1,56.4,1.043,0.92,0.94,52.7,110.9,35.5,52.4,76.3,7.2,20.4,7.1,23.5,33.3,25.0,80.3,53.1,2.5,6.8,13.5,11.1,1.216,0.758,0.857,66.6,15.6,61.3,-8.2,43.4,48.3,102.5,34.3,47.0,72.5,8.5,12.6,0.677,5.8,21.2,29.4,19.7,75.0,3.1,5.9,0.898
Coastal Car,69.5,3.1,24.9,57.2,0.995,0.951,0.942,49.9,105.8,35.1,48.3,69.6,7.2,20.6,9.8,26.3,39.0,30.6,74.2,52.8,3.3,6.4,12.4,13.8,0.898,0.517,0.5,69.8,14.8,66.4,-3.1,39.5,46.5,98.7,30.0,47.8,69.5,12.9,11.8,1.1,9.1,22.1,34.8,25.8,69.4,3.0,7.5,0.962
Montana,69.4,-0.3,23.4,53.1,1.011,1.015,0.916,50.2,110.6,33.9,49.9,78.8,6.4,19.0,4.7,21.4,28.5,16.0,77.3,45.3,2.6,5.3,11.5,10.5,1.095,0.517,0.375,68.7,19.7,69.7,0.3,46.2,51.8,112.1,37.5,49.9,73.0,10.6,12.8,0.825,6.3,24.8,34.4,22.7,84.0,2.9,4.1,0.905
Cincinnati,69.4,3.2,24.6,61.1,0.99,0.945,0.993,46.9,99.6,31.4,46.6,67.2,8.1,25.8,9.9,24.1,37.2,28.5,71.8,49.6,3.8,6.2,13.0,10.4,1.246,0.531,0.444,70.1,17.6,66.2,-3.2,40.2,45.0,98.6,31.2,44.2,72.1,12.1,12.3,0.985,9.5,24.9,37.8,28.2,71.5,3.4,5.7,0.96
Brown,69.3,-1.4,24.8,57.4,0.978,0.998,0.933,49.4,105.0,31.7,50.6,69.5,7.1,22.3,8.4,22.7,34.6,26.0,74.5,49.7,4.0,6.3,11.6,13.2,0.879,0.407,0.3,70.9,18.0,70.7,1.4,44.7,51.1,108.4,33.9,51.3,69.7,11.8,13.4,0.879,7.8,23.9,35.1,25.5,74.0,2.6,6.4,0.92
LA Monroe,69.3,-6.1,25.8,58.1,0.97,1.056,0.91,50.2,106.0,33.2,50.5,71.7,6.8,20.6,6.9,21.5,31.3,21.7,67.8,45.5,2.6,6.7,14.5,13.3,1.092,0.357,0.5,71.4,17.3,75.4,6.1,45.8,52.9,111.4,36.2,52.0,69.3,15.5,13.6,1.139,10.2,24.8,37.4,32.2,78.3,4.0,7.8,0.953
Dayton,69.2,8.0,25.7,53.8,1.05,0.929,0.931,53.9,112.4,36.1,53.8,68.3,6.5,18.1,7.8,24.7,35.2,27.8,78.3,54.5,3.9,5.5,14.4,12.4,1.164,0.686,0.539,65.9,13.9,61.2,-8.0,40.8,46.9,99.6,32.4,45.8,72.1,12.0,11.1,1.088,6.8,20.3,29.4,21.7,72.2,3.7,6.1,0.936
Creighton,69.2,2.8,25.6,57.2,0.983,0.943,0.918,50.6,107.4,30.8,53.3,73.8,6.7,21.8,8.3,27.3,38.1,26.4,73.9,51.7,4.3,5.5,13.3,14.1,0.947,0.657,0.8,70.4,13.6,66.4,-2.8,39.6,44.9,95.5,31.7,43.6,72.8,11.3,10.7,1.062,9.6,23.0,35.7,26.1,73.6,3.5,6.8,0.985
TN State,69.2,-1.9,25.2,57.6,0.975,1.002,0.927,49.4,105.0,35.1,47.8,70.3,6.5,18.5,8.5,22.9,34.4,27.4,72.9,50.2,3.1,6.6,11.9,13.7,0.867,0.414,0.5,70.9,18.9,71.1,1.9,43.7,50.1,108.1,33.7,49.9,71.8,13.3,13.5,0.982,8.5,22.6,34.1,27.1,72.6,3.9,6.9,0.93
Loyola Mymt,69.1,-5.2,24.9,54.8,1.004,1.079,0.909,51.9,110.0,34.2,52.3,72.1,7.1,20.9,6.8,20.8,29.7,22.6,73.3,47.7,1.7,5.3,11.1,13.0,0.852,0.357,0.364,68.9,17.8,74.3,5.2,48.1,54.7,116.4,36.0,55.0,77.4,14.7,12.3,1.198,7.6,23.1,32.5,26.7,77.4,3.5,6.5,0.932
Arkansas St,69.1,0.2,24.6,55.6,0.98,0.977,0.918,49.3,106.8,31.9,50.0,74.5,5.6,17.5,8.5,24.7,35.2,27.0,73.3,51.0,3.0,7.5,14.9,14.3,1.043,0.577,0.5,70.5,16.4,68.8,-0.2,43.6,49.2,104.2,33.3,48.8,70.3,12.2,13.3,0.911,9.0,22.8,33.8,26.7,73.0,3.4,7.3,0.938
Army,69.1,-3.0,25.3,58.5,0.965,1.007,0.941,48.8,102.4,31.7,49.4,64.0,6.4,20.3,9.0,23.8,36.1,27.2,75.0,50.7,1.8,7.8,12.0,13.2,0.909,0.448,0.444,71.6,14.9,72.1,3.0,45.4,52.8,109.4,36.4,51.6,68.5,14.8,13.5,1.094,7.9,24.0,35.1,25.0,72.8,4.1,7.6,0.922
Oklahoma,69.1,4.0,25.3,53.1,1.012,0.953,0.879,54.8,115.0,34.7,56.7,74.7,7.6,21.9,6.5,22.8,31.8,23.4,75.5,51.0,1.9,7.4,14.0,14.7,0.952,0.543,0.385,68.3,15.5,65.0,-4.0,43.9,49.4,105.0,31.8,50.3,73.4,10.7,13.6,0.784,7.4,21.1,30.6,24.5,76.6,2.7,7.7,0.909
TX Southern,69.0,2.9,25.1,57.9,0.962,0.921,0.937,48.2,102.7,31.4,48.6,67.9,5.6,17.9,10.4,25.4,39.4,32.0,74.9,53.2,5.2,5.6,10.7,14.9,0.718,0.594,0.6,71.8,17.7,66.1,-2.9,39.9,45.3,96.9,30.4,45.1,64.7,11.4,12.1,0.941,8.5,22.2,34.7,25.1,68.0,2.5,8.1,0.949
Kansas St,69.0,1.5,24.1,57.4,0.996,0.974,0.943,49.4,105.4,34.6,47.5,72.6,8.4,24.3,7.5,22.8,33.2,23.4,73.1,48.1,1.6,7.3,12.5,11.5,1.084,0.452,0.273,69.3,17.1,67.5,-1.5,43.4,49.5,105.3,30.2,52.4,69.7,13.3,13.5,0.988,8.4,24.6,35.9,26.9,76.6,3.5,5.7,0.927
Alabama St,69.0,-6.6,24.0,56.8,0.936,1.025,0.901,47.7,103.3,33.0,46.8,70.5,6.2,18.8,8.1,22.1,34.1,25.8,68.1,48.0,3.6,7.4,11.8,15.4,0.765,0.3,0.25,73.7,18.0,75.6,6.6,44.2,50.4,108.1,33.2,50.8,73.0,14.4,13.9,1.038,10.4,23.4,36.9,31.9,74.2,3.9,7.6,0.953
UNLV,68.9,2.6,23.9,57.0,1.016,0.977,0.957,49.1,105.5,33.2,48.6,73.8,8.1,24.4,8.4,24.2,35.4,25.8,75.5,50.4,2.8,6.1,13.4,11.3,1.189,0.548,0.5,67.8,17.9,66.3,-2.6,41.7,48.4,103.9,31.9,48.8,72.2,12.4,11.5,1.082,7.9,24.0,34.9,24.5,74.2,2.9,5.2,0.947
Cal Baptist,68.8,-0.2,23.6,55.1,0.981,0.984,0.923,49.9,106.3,33.2,50.1,68.0,7.9,23.7,8.7,24.3,35.6,27.0,73.6,50.5,2.6,5.1,15.1,14.1,1.069,0.484,0.455,70.2,18.7,69.0,0.2,42.8,48.2,103.2,32.6,47.8,69.4,12.7,12.0,1.056,8.7,23.5,34.9,26.4,73.0,2.1,6.3,0.953
North Dakota,68.8,-11.3,23.3,58.5,0.972,1.131,0.945,47.2,102.3,33.5,44.7,73.6,8.7,25.8,8.2,23.4,35.1,24.2,75.5,49.2,1.9,3.9,11.6,12.1,0.957,0.138,0.25,70.8,17.6,80.1,11.3,49.6,56.3,116.9,38.1,55.8,69.6,13.8,9.4,1.464,7.6,25.7,36.3,24.5,75.8,3.1,6.4,0.974
N Kentucky,68.8,3.0,24.7,58.3,1.017,0.972,0.969,49.5,104.8,34.1,48.3,71.2,8.3,24.2,11.1,21.9,35.5,35.2,71.3,51.9,2.4,8.6,13.1,13.2,0.992,0.6,0.667,67.7,15.3,65.8,-3.0,43.0,49.5,105.3,32.4,50.0,75.4,13.6,13.9,0.978,8.8,20.5,32.9,28.7,64.8,2.8,6.3,0.925
E Michigan,68.8,-7.8,25.1,58.7,0.93,1.035,0.907,48.2,102.6,30.7,49.3,69.9,6.4,20.8,7.0,24.6,34.8,21.2,74.0,47.6,3.1,5.7,10.2,13.9,0.734,0.3,0.75,74.0,17.6,76.6,7.8,45.1,51.6,108.7,35.6,50.6,70.6,12.7,12.2,1.041,8.6,26.1,38.3,26.0,78.8,3.7,6.9,0.951
Texas,68.8,8.1,24.5,55.5,1.037,0.914,0.963,50.1,107.7,33.0,50.4,74.6,6.6,20.0,9.1,21.6,33.3,30.1,72.7,50.8,3.4,7.7,13.2,11.6,1.145,0.647,0.625,66.4,17.9,60.6,-8.1,41.7,47.0,101.8,31.9,46.6,68.1,9.2,14.9,0.619,8.1,21.2,32.2,27.3,69.9,3.3,5.8,0.897
Akron,68.8,4.8,23.5,52.0,1.054,0.98,0.947,52.5,111.5,35.3,52.2,69.4,7.6,21.5,7.9,23.6,34.0,27.6,76.0,51.9,3.1,5.5,11.3,11.3,0.994,0.688,0.546,65.2,15.9,63.9,-4.8,43.0,49.1,103.8,34.8,47.4,70.7,9.7,11.2,0.868,7.4,20.7,31.5,24.0,72.4,2.3,5.5,0.943
Marist,68.8,0.6,25.4,57.9,0.995,0.986,0.937,50.4,106.2,34.4,49.7,71.9,7.5,21.8,8.0,24.5,35.1,24.7,75.2,50.0,3.4,5.8,9.0,12.4,0.725,0.467,0.444,69.1,15.6,68.2,-0.6,41.5,48.3,103.4,33.4,47.1,72.8,13.2,11.4,1.161,8.1,24.5,35.1,24.8,75.3,3.2,6.0,0.953
E Carolina,68.8,-2.2,23.3,57.5,0.968,0.999,0.933,47.1,103.2,33.3,45.3,75.4,7.5,22.5,8.2,23.3,35.2,25.0,73.1,49.3,3.1,6.8,14.7,13.0,1.136,0.5,0.636,71.0,16.2,70.9,2.2,43.3,50.5,106.9,35.3,48.8,69.7,15.3,12.8,1.19,8.6,24.6,36.2,26.9,75.0,4.2,6.9,0.94
CS Fullerton,68.6,2.2,24.2,55.1,1.015,0.982,0.947,48.9,106.9,33.4,48.4,76.7,5.5,16.5,8.3,21.8,32.8,27.5,73.3,50.3,1.9,6.9,10.8,11.9,0.908,0.633,0.6,67.6,16.0,66.4,-2.2,44.3,51.1,107.1,37.3,48.4,69.7,13.4,13.4,1.0,7.9,22.0,32.4,26.7,72.5,3.4,5.9,0.919
Monmouth,68.6,1.3,23.6,56.3,0.994,0.975,0.961,47.5,103.7,33.1,46.3,72.8,6.4,19.2,9.0,24.3,36.5,27.7,73.8,50.9,3.3,6.3,11.7,11.7,0.997,0.618,0.6,69.0,18.1,67.3,-1.3,40.7,47.3,102.3,32.3,46.6,71.3,11.6,12.0,0.968,8.6,23.5,35.1,26.2,72.3,3.2,5.4,0.951
Florida Intl,68.6,-3.2,24.6,58.5,0.966,1.011,0.918,49.9,105.0,34.0,49.0,70.8,9.2,27.0,8.1,23.2,34.5,24.9,71.9,48.6,3.8,6.1,13.0,14.0,0.931,0.433,0.7,71.0,15.5,71.8,3.2,43.6,50.2,107.0,33.4,50.2,72.0,13.6,12.8,1.062,9.1,24.5,36.5,28.1,75.1,3.1,7.2,0.947
Morehead St,68.6,4.2,24.9,55.1,1.014,0.952,0.934,52.4,109.4,35.8,51.6,67.5,7.9,22.2,9.0,24.7,36.0,30.0,73.0,51.7,5.6,5.5,15.4,13.5,1.141,0.645,0.571,67.6,15.3,64.4,-4.2,41.1,46.5,98.1,32.6,45.3,67.7,12.1,11.5,1.05,9.1,21.0,33.5,27.0,70.0,3.3,7.5,0.965
Valparaiso,68.6,-2.4,25.1,55.9,0.996,1.031,0.914,51.0,108.8,32.9,52.1,76.7,6.9,21.0,5.3,23.4,31.5,17.3,77.0,48.0,3.1,6.2,11.5,11.2,1.033,0.4,0.455,68.9,13.7,71.0,2.4,45.8,52.3,109.8,35.6,51.6,75.5,13.6,11.1,1.219,7.0,25.1,34.0,23.0,82.7,3.1,5.8,0.94
Rutgers,68.5,2.0,25.8,58.0,1.008,0.979,0.964,49.9,105.0,33.9,49.4,70.0,6.2,18.3,9.1,23.7,35.7,28.4,75.2,51.4,4.0,7.0,15.2,11.5,1.317,0.563,0.5,67.9,15.8,66.5,-2.0,41.8,48.6,103.7,33.9,47.1,72.5,12.4,11.8,1.047,7.8,22.9,33.7,24.8,71.6,3.1,5.8,0.94
TX Christian,68.5,3.6,25.4,57.7,0.991,0.94,0.956,48.7,103.2,30.2,50.3,67.4,5.5,18.3,11.4,24.4,39.0,36.1,75.1,56.0,4.1,6.4,13.6,14.5,0.943,0.618,0.6,69.1,15.5,64.9,-3.6,42.0,47.4,101.0,30.9,48.0,70.9,13.0,12.6,1.03,8.1,20.2,30.6,24.9,63.9,3.4,7.1,0.935
Wichita St,68.5,2.1,23.5,58.4,0.971,0.941,0.964,46.7,102.0,31.2,46.7,75.3,7.5,24.2,10.3,23.9,37.1,30.5,75.1,51.5,4.6,7.5,12.0,12.9,0.933,0.536,0.4,70.5,15.9,66.4,-2.1,41.4,47.3,101.4,31.6,47.2,70.8,12.4,13.8,0.897,7.9,23.5,34.9,24.9,69.5,3.8,6.7,0.916
Georgia St,68.5,0.2,23.9,61.5,0.967,0.964,0.994,44.7,97.3,32.4,42.5,72.0,7.2,22.3,11.0,22.0,36.3,30.7,71.5,49.5,4.3,8.1,12.5,11.5,1.094,0.577,0.5,70.8,16.9,68.2,-0.2,42.9,50.0,106.1,37.5,46.2,69.0,13.6,15.3,0.892,8.8,25.0,37.1,28.5,69.3,3.7,6.1,0.908
W Virginia,68.5,-0.5,23.6,57.1,0.98,0.988,0.957,46.8,102.3,32.8,45.7,72.4,6.3,19.2,9.4,20.3,32.2,28.4,67.9,47.2,4.5,7.8,10.5,12.4,0.844,0.485,0.429,69.8,17.4,69.0,0.5,44.6,50.6,108.0,32.4,51.7,71.2,13.0,15.4,0.846,9.6,23.7,36.1,32.1,71.6,2.8,6.9,0.917
Rob Morris,68.4,-7.0,25.4,55.5,0.984,1.085,0.909,50.9,108.7,32.9,51.6,76.1,5.8,17.6,7.8,21.9,32.1,26.8,70.3,48.7,3.8,5.9,12.2,14.2,0.863,0.226,0.333,69.5,15.7,75.5,7.0,46.5,53.1,111.8,36.9,51.9,72.2,15.0,11.5,1.305,9.2,21.5,33.8,29.7,73.2,3.5,7.2,0.967
Lehigh,68.4,-3.3,24.9,55.7,0.977,1.024,0.892,52.1,109.7,38.2,48.9,74.2,8.1,21.3,5.6,24.3,33.0,18.7,75.6,48.6,3.4,4.4,14.1,13.2,1.074,0.387,0.5,70.0,17.0,71.6,3.3,44.5,49.2,105.6,36.3,47.4,72.5,10.9,10.1,1.083,7.9,24.5,34.9,24.4,81.3,4.0,7.3,0.969
UC San Diego,68.4,-3.3,23.3,53.3,0.987,1.034,0.882,52.0,111.1,36.0,50.3,74.7,8.8,24.4,4.7,22.1,29.9,16.1,72.9,46.0,1.8,5.4,13.2,12.9,1.023,0.407,0.429,69.3,15.0,71.6,3.3,47.3,52.7,109.5,32.9,54.3,71.2,13.1,11.7,1.12,8.2,24.7,35.0,27.1,83.9,2.6,6.3,0.949
Geo Wshgtn,68.4,-4.5,25.3,59.0,0.95,1.012,0.922,48.9,103.2,33.8,47.9,69.8,7.1,21.1,7.0,23.7,33.3,21.2,71.1,46.2,4.2,6.9,12.3,12.6,0.971,0.4,0.625,72.0,17.1,72.8,4.5,44.3,49.6,105.5,30.7,51.4,71.7,13.5,12.7,1.063,9.6,26.1,38.7,28.9,78.8,4.1,6.7,0.957
Oklahoma St,68.4,2.7,25.1,57.9,0.947,0.909,0.933,48.0,102.1,29.5,49.8,66.7,5.4,18.2,10.3,24.0,37.1,31.3,71.4,50.8,5.4,8.5,12.7,15.1,0.839,0.5,0.417,72.2,17.4,65.7,-2.7,39.1,45.6,99.2,32.4,43.6,72.5,11.5,16.1,0.716,9.6,22.6,36.0,28.6,68.7,3.4,8.2,0.911
Oregon St,68.3,-9.8,25.6,57.9,0.969,1.109,0.926,49.2,104.3,31.9,49.8,70.9,5.7,17.8,7.3,20.3,30.8,23.2,67.4,45.7,3.0,6.0,12.1,12.5,0.967,0.097,0.0,70.5,17.5,78.1,9.8,47.9,55.0,115.0,35.9,55.8,71.6,15.1,12.1,1.249,9.8,24.2,36.6,32.6,76.8,3.0,6.7,0.968
Texas State,68.3,3.0,24.4,53.9,1.032,0.986,0.947,51.0,109.6,37.2,48.9,75.1,6.1,16.4,8.7,20.9,32.0,29.5,72.5,50.6,3.0,6.3,11.4,12.2,0.937,0.692,0.857,66.2,17.4,65.3,-3.0,43.7,50.7,108.6,35.0,49.5,72.9,12.5,14.3,0.874,7.9,20.7,31.2,27.5,70.5,2.7,5.6,0.903
Indiana St,68.2,-5.4,24.2,56.0,0.948,1.023,0.875,50.6,108.2,32.0,52.8,77.8,8.3,25.8,4.6,25.3,32.9,14.8,79.6,48.2,1.8,5.9,12.8,13.5,0.945,0.286,0.667,71.9,15.6,73.6,5.4,44.8,51.7,109.6,36.1,50.1,75.8,13.0,11.2,1.16,6.5,26.3,35.3,20.4,85.2,3.3,6.5,0.934
Mississippi,68.1,-0.5,24.8,57.0,0.985,0.993,0.939,49.6,105.2,32.6,49.9,71.1,6.9,21.3,8.0,22.6,33.4,25.0,75.7,49.4,2.8,7.1,13.2,12.2,1.079,0.406,0.333,69.2,15.2,68.7,0.5,45.5,51.4,108.2,32.3,53.1,70.9,15.2,13.1,1.157,7.3,24.0,34.2,24.3,75.0,3.3,6.9,0.915
