Team,points-per-game,average-scoring-margin,field-goals-made-per-game,field-goals-attempted-per-game,offensive-efficiency,defensive-efficiency,effective-possession-ratio,effective-field-goal-pct,true-shooting-percentage,three-point-pct,two-point-pct,free-throw-pct,three-pointers-made-per-game,three-pointers-attempted-per-game,offensive-rebounds-per-game,defensive-rebounds-per-game,total-rebounds-per-game,offensive-rebounding-pct,defensive-rebounding-pct,total-rebounding-percentage,blocks-per-game,steals-per-game,assists-per-game,turnovers-per-game,assist--per--turnover-ratio,win-pct-all-games,win-pct-close-games,possessions-per-game,personal-fouls-per-game,opponent-points-per-game,opponent-average-scoring-margin,opponent-shooting-pct,opponent-effective-field-goal-pct,opponent-true-shooting-percentage,opponent-three-point-pct,opponent-two-point-pct,opponent-free-throw-pct,opponent-assists-per-game,opponent-turnovers-per-game,opponent-assist--per--turnover-ratio,opponent-offensive-rebounds-per-game,opponent-defensive-rebounds-per-game,opponent-total-rebounds-per-game,opponent-offensive-rebounding-pct,opponent-defensive-rebounding-pct,opponent-blocks-per-game,opponent-steals-per-game,opponent-effective-possession-ratio
TX El Paso,68.1,0.8,24.3,56.9,0.983,0.972,0.933,49.2,105.7,34.7,47.4,76.7,7.5,21.5,6.7,22.3,31.7,21.0,72.6,46.5,3.5,7.1,11.8,11.4,1.041,0.563,0.778,69.3,17.9,67.3,-0.8,44.4,49.9,105.3,33.2,50.0,65.0,12.1,14.0,0.866,8.4,25.2,36.5,27.4,79.0,2.3,5.5,0.92
Dixie State,68.1,-8.0,24.0,58.4,0.913,1.02,0.908,46.5,99.8,29.5,47.8,66.7,6.4,21.8,8.5,24.0,36.3,24.3,71.8,48.5,2.5,6.1,14.4,15.3,0.94,0.333,1.0,74.6,19.4,76.1,8.0,44.8,50.9,107.8,33.0,51.7,71.0,14.9,13.0,1.145,9.4,26.4,38.5,28.2,75.7,4.1,8.3,0.952
Bellarmine,68.0,-2.5,25.5,55.2,1.054,1.093,0.948,53.3,111.5,34.2,54.8,75.0,7.9,23.1,6.1,20.2,28.6,21.4,70.3,46.0,1.4,5.2,13.3,9.5,1.402,0.552,0.75,64.5,15.1,70.4,2.5,46.1,54.4,113.7,35.0,56.1,70.5,13.1,11.2,1.169,8.6,22.6,33.5,29.7,78.6,2.4,5.1,0.958
NC Central,67.9,-3.9,23.9,56.3,0.93,0.984,0.903,47.7,102.3,31.0,48.3,66.7,5.9,18.9,9.8,22.1,35.1,30.8,71.5,50.7,1.9,7.8,10.9,16.9,0.647,0.444,0.875,73.0,21.1,71.8,3.9,43.5,50.5,109.5,32.9,51.4,71.4,12.8,15.7,0.812,8.8,22.1,34.1,28.5,69.2,4.6,7.6,0.905
High Point,67.7,-3.1,24.6,56.6,0.96,1.005,0.929,48.9,103.0,32.0,49.4,64.2,6.2,19.4,8.5,23.6,34.8,25.8,71.5,48.8,4.5,6.4,11.9,13.5,0.88,0.379,0.182,70.5,17.5,70.8,3.1,43.9,49.5,105.0,30.1,52.1,66.8,13.7,12.3,1.118,9.4,24.4,36.5,28.5,74.2,3.5,6.4,0.959
Boise State,67.7,6.7,24.0,54.4,1.019,0.918,0.952,50.7,106.6,34.0,50.6,65.1,7.1,21.0,8.9,23.0,34.5,29.4,78.2,53.3,3.4,6.0,11.2,12.1,0.929,0.765,0.727,66.4,15.0,61.0,-6.7,42.9,48.3,102.7,32.6,48.0,72.3,9.9,13.2,0.747,6.4,21.3,30.2,21.8,70.6,2.9,5.2,0.897
St Josephs,67.6,-1.5,24.9,59.1,0.958,0.979,0.917,49.7,103.1,33.6,49.0,65.4,8.9,26.6,7.7,26.0,37.6,23.8,76.8,51.7,2.5,4.9,13.5,13.5,1.0,0.367,0.333,70.6,16.1,69.1,1.5,42.7,47.7,101.3,31.8,47.6,70.5,11.9,9.4,1.258,7.9,24.7,35.2,23.2,76.2,3.6,6.9,0.978
UC Davis,67.6,0.6,24.9,57.1,0.969,0.961,0.936,48.6,103.8,32.3,48.7,71.6,5.8,18.0,7.8,23.4,34.4,25.0,73.3,49.0,2.8,5.9,10.9,12.2,0.892,0.546,0.5,69.7,18.9,67.0,-0.6,41.5,47.3,102.6,33.9,45.4,70.5,11.0,13.1,0.834,8.5,23.3,35.7,26.7,75.0,2.4,5.7,0.934
St Fran (PA),67.5,-6.7,25.1,59.8,0.955,1.049,0.963,46.9,99.0,31.5,46.7,64.5,5.9,18.7,9.9,22.5,35.8,28.2,69.4,48.6,2.6,6.4,12.7,12.5,1.019,0.276,0.167,70.7,14.9,74.2,6.7,45.4,52.4,109.2,35.9,51.4,69.5,14.9,12.6,1.18,9.9,25.1,37.9,30.6,71.8,3.7,6.8,0.962
Mass Lowell,67.5,-0.4,25.5,59.0,0.968,0.974,0.945,48.0,101.7,30.2,49.3,69.4,5.7,18.9,8.7,22.3,34.2,26.7,71.6,49.2,4.1,6.8,11.1,12.5,0.891,0.429,0.333,69.7,16.5,67.9,0.4,42.7,48.9,104.9,37.0,45.6,72.0,10.7,13.3,0.804,8.8,23.9,35.4,28.4,73.3,3.9,6.1,0.936
La Salle,67.5,-4.0,24.8,59.9,0.953,1.01,0.944,47.7,100.7,31.9,47.6,68.7,7.6,23.9,9.2,24.1,36.5,26.8,74.5,50.0,4.3,5.9,13.4,13.1,1.018,0.367,0.546,70.8,17.2,71.5,4.0,43.4,49.9,106.2,36.0,47.6,70.7,14.4,11.6,1.235,8.3,25.1,36.4,25.5,73.2,2.9,6.6,0.952
GA Tech,67.5,-3.8,25.3,57.9,0.949,1.003,0.917,49.6,104.1,34.2,48.6,69.3,6.9,20.1,7.3,23.1,33.6,23.0,73.7,48.5,2.6,7.6,13.4,13.2,1.017,0.355,0.364,71.1,18.0,71.3,3.8,43.9,50.1,107.1,32.1,51.3,72.7,15.0,13.1,1.143,8.2,24.5,35.7,26.3,77.0,3.2,6.6,0.931
Tulsa,67.4,-2.5,24.0,55.4,0.976,1.013,0.915,49.6,106.0,34.2,48.5,72.6,6.8,20.0,6.9,22.2,32.6,23.2,71.5,48.4,2.2,6.8,11.8,12.8,0.919,0.355,0.167,69.0,16.0,69.9,2.5,44.1,52.2,109.4,36.2,50.5,69.1,13.5,13.5,1.0,8.8,23.0,34.8,28.5,76.8,3.9,7.2,0.932
Rider,67.3,-2.3,24.9,60.5,0.956,0.988,0.965,45.6,98.5,31.6,44.9,73.6,5.3,16.9,9.5,24.7,37.0,27.4,73.4,50.3,2.5,6.8,12.6,11.9,1.055,0.406,0.5,70.5,17.2,69.7,2.3,41.6,49.2,104.9,34.5,47.2,69.5,13.2,12.7,1.037,8.9,25.2,36.7,26.6,72.6,3.9,6.0,0.947
Pepperdine,67.3,-10.5,25.0,60.1,0.918,1.06,0.914,47.5,100.6,34.1,45.6,71.3,7.1,20.9,8.4,22.8,33.9,24.8,71.1,47.0,2.4,5.6,14.4,14.6,0.985,0.194,0.333,73.4,18.0,77.8,10.5,46.7,52.7,111.3,32.9,54.6,71.7,15.4,12.9,1.19,9.3,25.3,38.2,28.9,75.2,2.7,7.4,0.95
Gard-Webb,67.3,2.1,24.4,56.2,0.969,0.939,0.922,49.9,105.5,33.0,50.3,69.9,7.3,22.2,8.3,24.8,35.8,25.8,75.2,50.8,4.4,7.1,12.7,13.7,0.927,0.536,0.429,69.5,18.8,65.3,-2.1,39.6,45.5,100.6,28.5,47.4,74.2,11.5,13.0,0.887,8.2,23.8,34.6,24.8,74.2,3.2,6.4,0.931
Louisville,67.3,-2.8,24.8,58.8,0.974,1.014,0.951,48.8,102.3,30.9,50.5,67.4,7.7,24.8,8.8,25.4,36.5,26.1,76.6,50.8,2.4,6.1,11.9,12.2,0.977,0.406,0.8,69.1,17.2,70.1,2.8,43.7,50.4,106.6,34.9,49.1,70.3,13.2,11.1,1.192,7.8,25.1,35.3,23.4,73.9,3.2,6.4,0.952
Canisius,67.3,-5.2,23.8,60.1,0.936,1.009,0.955,45.4,97.9,30.2,45.5,69.6,7.1,23.5,8.6,22.6,35.0,24.8,76.8,48.9,2.6,5.7,12.7,11.8,1.074,0.323,0.6,71.9,17.4,72.5,5.2,46.6,51.5,109.5,31.1,53.7,72.4,13.3,12.4,1.068,6.8,26.0,36.5,23.2,75.2,4.5,5.3,0.922
F Dickinson,67.2,-11.9,24.3,59.8,0.928,1.092,0.933,46.4,99.3,32.4,45.2,70.8,6.8,21.2,8.8,21.6,33.1,26.0,67.3,46.1,3.0,6.5,11.8,13.7,0.86,0.154,0.2,72.5,18.3,79.2,11.9,47.7,53.8,113.2,35.1,54.5,69.9,16.5,12.9,1.281,10.5,25.2,38.7,32.7,74.0,4.0,6.4,0.967
Miss Val St,67.2,-15.8,23.8,61.5,0.89,1.098,0.931,44.4,95.1,30.5,43.6,65.5,7.1,23.3,8.2,20.4,31.7,21.8,67.0,42.4,2.5,7.4,11.6,13.4,0.864,0.071,0.111,75.5,18.1,83.0,15.8,50.4,56.6,118.6,40.0,55.0,71.2,15.6,15.3,1.019,10.1,29.4,43.0,33.0,78.2,3.6,6.8,0.93
Lafayette,67.1,-5.9,25.1,58.1,0.987,1.074,0.941,50.6,105.1,32.8,51.9,68.3,8.7,26.5,7.0,22.1,31.3,21.6,71.5,45.7,3.2,6.3,16.2,11.0,1.475,0.31,0.333,68.1,14.2,73.1,5.9,46.8,53.7,111.6,38.0,51.8,69.1,14.2,11.6,1.233,8.8,25.3,37.1,28.5,78.4,2.4,5.6,0.96
Troy,67.1,0.0,22.9,55.6,0.957,0.958,0.921,47.6,103.5,32.3,47.1,73.0,7.2,22.3,9.7,23.7,36.4,30.2,73.6,51.8,2.2,7.3,13.0,15.2,0.855,0.586,0.546,70.1,18.5,67.1,0.0,42.3,48.5,104.3,33.1,47.9,70.5,12.1,14.0,0.867,8.5,22.4,33.8,26.4,69.8,3.8,8.0,0.922
VCU,67.1,4.7,24.8,53.8,0.953,0.887,0.889,51.4,108.6,34.7,51.1,70.4,5.7,16.3,7.3,22.5,32.5,25.0,70.5,48.6,5.1,9.2,13.9,15.1,0.923,0.688,0.667,70.4,18.7,62.4,-4.7,39.4,44.4,98.1,27.8,45.9,70.8,11.4,17.0,0.673,9.4,22.0,34.4,29.5,75.0,2.7,7.8,0.892
Hawaii,67.0,2.5,23.2,53.6,1.003,0.965,0.929,50.4,108.3,34.6,49.5,74.4,7.6,22.0,8.2,23.6,34.5,28.1,77.1,52.7,2.0,3.5,11.7,12.9,0.908,0.577,0.5,66.8,17.1,64.5,-2.5,42.3,46.9,101.5,30.9,47.2,72.5,8.8,10.4,0.849,7.0,20.9,31.0,22.9,71.9,2.8,6.1,0.949
Rhode Island,67.0,1.7,24.8,54.3,0.965,0.94,0.916,50.6,105.4,33.8,50.5,61.9,5.3,15.7,8.3,24.7,35.9,26.7,74.9,51.3,6.0,7.4,13.4,14.1,0.946,0.467,0.286,69.5,17.4,65.3,-1.7,39.5,46.3,101.0,32.6,44.5,73.4,12.7,13.1,0.969,8.3,22.7,34.0,25.1,73.3,2.9,7.3,0.931
Minnesota,67.0,-2.2,24.8,56.6,0.995,1.028,0.93,50.7,106.4,36.8,48.0,71.8,7.8,21.2,4.5,23.1,30.7,14.3,73.9,45.0,2.8,5.3,12.6,9.2,1.373,0.433,0.571,67.3,14.1,69.2,2.2,45.4,51.2,107.0,33.7,51.6,70.3,13.4,10.4,1.288,8.2,27.0,37.5,26.1,85.7,3.7,4.8,0.966
Boston Col,66.9,-1.2,24.6,57.5,0.99,1.007,0.959,47.8,102.1,30.9,48.5,70.4,5.8,18.6,9.2,22.4,34.2,28.1,75.2,50.9,2.9,7.2,12.4,11.9,1.038,0.394,0.333,67.6,15.6,68.1,1.2,44.9,51.5,110.0,36.4,49.7,74.3,12.2,12.4,0.983,7.4,23.4,33.0,24.8,71.9,3.9,6.7,0.926
Coppin State,66.9,-7.8,22.3,57.8,0.887,0.99,0.899,46.0,99.4,29.7,47.6,68.4,8.6,28.9,6.8,24.7,34.2,18.5,68.7,44.0,3.0,8.1,11.0,14.4,0.766,0.281,0.417,75.5,16.8,74.7,7.8,41.9,49.3,104.5,35.2,46.7,71.1,14.2,15.8,0.899,11.3,29.8,43.5,31.3,81.5,2.8,6.8,0.94
Stetson,66.8,-6.3,24.2,57.8,0.96,1.05,0.927,48.8,103.0,34.8,46.5,69.9,8.1,23.3,8.2,23.1,34.5,25.5,74.6,49.8,2.8,6.2,13.3,13.3,1.003,0.269,0.333,69.6,15.7,73.1,6.3,45.7,53.0,110.5,34.9,53.5,69.2,14.9,10.9,1.363,7.8,23.8,34.7,25.4,74.5,3.0,6.5,0.956
TN Martin,66.8,-8.1,24.6,60.4,0.924,1.036,0.939,46.1,98.2,29.7,47.0,69.4,6.5,22.0,9.2,22.6,35.6,26.8,70.6,48.2,4.1,6.5,10.7,13.6,0.785,0.214,0.5,72.3,18.5,74.9,8.1,44.3,50.8,109.0,33.4,51.2,71.7,14.3,12.9,1.105,9.4,25.1,38.3,29.4,73.2,5.0,6.9,0.952
Temple,66.8,0.3,22.4,56.7,0.96,0.956,0.971,45.4,99.1,31.1,44.7,67.9,6.7,21.7,10.6,24.8,38.8,31.2,73.3,51.7,4.7,6.8,11.8,12.6,0.94,0.586,0.727,69.5,18.4,66.4,-0.3,40.1,45.5,99.1,29.4,46.3,72.6,13.2,11.7,1.13,9.0,23.3,36.2,26.7,68.8,3.5,6.5,0.962
SIU Edward,66.7,-5.7,23.6,57.0,0.923,1.002,0.921,46.5,100.5,29.3,47.8,69.7,5.8,19.8,9.6,23.2,36.3,29.8,71.9,50.4,3.8,7.1,11.9,15.3,0.78,0.3,0.333,72.3,18.8,72.4,5.7,42.4,49.0,106.5,33.0,48.7,73.1,14.1,13.5,1.039,9.1,22.7,35.7,28.1,70.2,3.6,7.9,0.938
N Hampshire,66.7,0.9,24.3,56.1,1.035,1.021,0.979,50.9,106.1,36.6,48.1,67.3,8.5,23.1,7.9,23.7,35.0,26.0,81.1,52.4,2.7,4.0,11.8,9.3,1.264,0.5,0.375,64.5,13.7,65.8,-0.9,43.7,50.4,107.2,34.2,49.8,74.7,9.8,8.8,1.109,5.5,22.5,31.8,18.9,74.0,2.7,5.0,0.949
Columbia,66.6,-12.9,24.8,58.7,0.916,1.093,0.907,48.5,100.9,34.9,46.4,62.7,7.4,21.2,8.5,23.0,35.0,24.7,73.1,48.5,2.0,5.9,11.8,15.2,0.772,0.12,0.5,72.7,16.8,79.5,12.9,46.7,54.8,114.4,37.8,53.4,73.6,15.2,11.7,1.301,8.5,25.9,37.2,26.9,75.3,3.1,8.4,0.956
Fairfield,66.5,0.2,24.3,56.8,0.982,0.979,0.951,49.2,103.9,33.5,48.6,70.2,7.4,22.0,7.8,23.8,34.1,25.2,75.9,49.8,2.9,5.3,11.1,11.1,1.006,0.438,0.444,67.7,16.1,66.3,-0.2,43.4,48.1,102.8,32.2,48.0,70.1,10.2,11.2,0.913,7.6,23.0,34.3,24.1,74.8,3.6,5.3,0.946
Alcorn State,66.5,-4.6,24.0,58.3,0.934,0.998,0.938,45.8,98.8,31.7,45.1,69.2,5.4,17.0,9.6,22.4,35.9,30.1,74.2,51.1,2.7,7.4,10.4,14.1,0.736,0.5,0.667,71.3,17.8,71.1,4.6,44.6,50.7,108.8,34.4,50.3,71.6,13.9,13.2,1.047,7.8,22.4,34.4,25.8,69.9,4.1,6.9,0.924
Dartmouth,66.5,-1.5,23.4,57.6,0.97,0.992,0.936,48.2,103.3,33.4,46.6,77.6,8.7,26.0,7.3,23.4,32.9,22.5,74.9,47.9,3.3,6.5,10.0,11.7,0.858,0.333,0.111,68.5,16.1,68.0,1.5,44.5,50.8,107.4,34.2,50.5,71.3,10.5,12.8,0.815,7.8,25.2,35.8,25.1,77.5,2.3,6.3,0.927
Stanford,66.4,-2.3,24.1,55.6,0.972,1.006,0.929,49.8,104.5,33.9,49.2,65.9,7.3,21.5,10.1,24.1,36.9,32.4,78.8,55.1,2.6,5.6,13.1,15.0,0.875,0.5,0.636,68.3,17.4,68.7,2.3,45.0,51.4,107.9,32.7,52.9,68.8,12.3,11.0,1.122,6.5,21.1,30.1,21.2,67.6,3.7,7.2,0.934
St Peters,66.4,3.4,23.1,54.7,0.958,0.909,0.931,47.5,103.0,34.6,45.6,70.3,5.7,16.6,8.7,24.0,35.5,27.9,74.9,51.1,5.0,7.1,12.1,13.5,0.895,0.636,0.5,69.3,19.8,62.9,-3.4,38.9,44.2,99.0,29.2,44.5,72.7,11.0,13.8,0.794,8.1,22.5,34.0,25.1,72.1,5.0,6.9,0.917
Siena,66.3,-2.9,23.8,55.9,0.955,0.996,0.918,48.7,104.2,35.6,46.3,73.3,6.8,19.0,6.8,23.1,32.9,22.0,73.0,48.2,4.0,6.2,10.0,12.6,0.799,0.517,0.667,69.4,16.0,69.2,2.9,44.1,49.1,104.3,33.3,48.7,70.6,11.4,11.8,0.965,8.6,24.2,35.3,27.0,78.0,3.1,7.2,0.953
Fordham,66.1,-0.7,23.0,58.4,0.928,0.938,0.942,45.7,99.1,29.7,46.7,72.7,7.4,25.0,9.0,25.3,36.8,26.3,76.7,49.9,3.7,7.3,11.8,13.2,0.9,0.5,0.5,71.2,17.7,66.8,0.7,42.6,48.0,101.9,31.3,48.5,67.9,12.0,13.7,0.877,7.7,25.3,37.0,23.3,73.7,3.2,5.8,0.916
Loyola-MD,66.0,-0.4,24.8,55.9,0.967,0.973,0.911,50.4,105.5,32.1,51.7,69.1,6.9,21.3,6.9,22.2,31.8,22.8,76.4,49.1,2.6,7.8,14.6,13.0,1.122,0.448,0.4,68.3,15.4,66.5,0.4,44.9,51.4,108.9,34.4,51.3,71.9,13.0,13.8,0.943,6.9,23.5,33.0,23.6,77.2,2.8,6.4,0.899
Old Dominion,66.0,-1.2,24.4,56.5,0.977,0.995,0.964,46.9,100.6,29.0,48.1,67.2,4.3,14.8,9.7,24.4,37.3,30.1,74.4,52.5,3.3,6.5,12.1,12.2,0.995,0.387,0.375,67.6,16.1,67.3,1.2,42.0,49.7,104.8,34.2,48.4,67.8,13.0,11.3,1.148,8.4,22.5,33.8,25.6,69.9,2.7,5.6,0.957
Fresno St,66.0,6.4,23.6,53.1,1.02,0.921,0.944,51.1,108.3,33.7,51.3,71.4,7.0,20.7,7.6,24.0,33.9,26.1,79.3,52.6,2.8,6.1,12.0,11.2,1.066,0.629,0.364,64.7,15.5,59.6,-6.4,41.0,47.7,101.4,32.3,47.2,69.8,10.7,12.3,0.87,6.3,21.5,30.6,20.7,73.9,2.1,5.5,0.906
Central Mich,65.9,-11.0,23.1,56.5,0.934,1.09,0.914,47.8,101.9,34.1,45.5,69.2,7.7,22.7,7.5,22.1,33.2,22.9,69.8,46.6,3.0,6.3,11.5,13.6,0.848,0.233,0.364,70.6,19.9,77.0,11.0,45.7,53.0,112.2,34.8,53.7,70.3,14.5,11.5,1.265,9.6,25.3,38.0,30.2,77.1,3.3,6.4,0.973
Niagara,65.9,-0.1,23.8,55.3,0.988,0.989,0.936,49.3,105.1,34.0,48.2,73.4,6.8,20.0,6.8,22.7,31.8,21.5,72.9,48.1,2.6,5.4,11.5,11.0,1.047,0.448,0.25,66.7,15.5,66.0,0.1,42.0,48.2,103.8,33.6,46.9,74.9,12.3,11.3,1.088,8.4,24.6,34.2,27.1,78.5,2.9,5.1,0.957
NC A&T,65.7,-5.4,24.2,58.8,0.943,1.021,0.96,46.6,98.6,31.5,46.3,66.0,6.3,19.9,9.6,22.1,34.4,28.2,71.1,48.1,3.1,7.4,11.6,12.4,0.936,0.31,0.375,69.7,19.5,71.1,5.4,43.9,51.0,108.8,34.8,50.1,69.9,14.2,13.6,1.046,9.0,24.5,37.1,28.9,71.8,2.5,6.3,0.934
Binghamton,65.7,-4.2,24.7,58.0,0.948,1.009,0.932,48.8,101.9,34.7,47.0,66.8,7.2,20.7,8.0,24.3,35.6,25.0,75.7,49.7,3.6,5.4,11.1,12.7,0.875,0.37,0.286,69.3,16.8,69.9,4.2,43.7,49.9,105.3,33.6,49.6,68.0,11.1,10.7,1.031,7.8,23.9,35.9,24.3,75.0,3.4,6.8,0.957
St Fran (NY),65.7,-5.6,24.3,60.5,0.939,1.019,0.955,46.0,97.7,31.3,45.4,70.9,7.0,22.2,9.1,21.7,34.5,26.7,71.8,48.6,2.4,6.6,11.5,12.2,0.941,0.31,0.333,69.9,16.3,71.2,5.6,46.8,51.9,109.3,33.3,52.7,69.2,13.3,12.9,1.032,8.6,24.9,36.5,28.2,73.3,3.9,6.2,0.938
Iowa State,65.6,3.1,24.3,56.3,0.948,0.904,0.914,49.1,103.3,31.5,50.1,68.3,6.7,21.2,7.9,21.3,32.4,25.9,73.5,49.3,3.1,8.5,14.7,13.8,1.06,0.629,0.778,69.2,18.3,62.5,-3.1,42.5,48.0,104.1,28.9,50.8,71.8,11.6,16.6,0.699,7.7,22.5,33.3,26.5,74.1,4.0,7.3,0.871
Sam Hous St,65.5,1.2,24.2,58.6,0.967,0.949,0.967,48.3,99.9,33.6,46.8,60.5,8.3,24.8,10.0,22.6,36.1,29.4,75.8,50.8,2.4,7.1,12.8,12.2,1.049,0.533,0.5,67.7,17.9,64.3,-1.2,41.7,48.6,105.2,31.9,49.1,73.3,12.2,13.8,0.884,7.2,24.0,35.0,24.2,70.6,2.5,5.7,0.904
N Arizona,65.4,-9.4,23.3,57.1,0.946,1.082,0.923,47.9,101.3,34.3,45.4,67.6,8.2,23.9,8.5,24.2,36.1,26.1,77.2,51.7,2.3,4.3,11.8,13.8,0.855,0.233,0.429,69.2,18.4,74.8,9.4,46.3,53.0,113.0,36.3,52.2,74.1,12.0,9.3,1.282,7.2,24.2,33.8,22.8,73.9,3.2,6.0,0.969
San Diego St,65.4,7.3,23.8,55.0,0.966,0.859,0.933,48.7,103.5,35.4,46.7,69.2,6.0,16.9,8.3,23.5,35.0,27.2,75.0,51.5,4.8,7.5,11.9,12.8,0.934,0.719,0.5,67.7,17.5,58.1,-7.3,38.4,44.1,95.2,30.0,43.5,68.0,10.5,14.5,0.726,7.8,22.1,33.0,25.0,72.8,3.0,5.8,0.902
Arizona St,65.4,-1.8,25.0,60.4,0.923,0.949,0.938,47.1,98.3,30.7,47.7,66.1,6.9,22.5,7.5,24.1,35.5,22.1,71.4,47.2,4.2,6.7,13.4,11.9,1.119,0.452,0.539,70.8,18.1,67.2,1.8,40.0,46.3,100.5,31.1,46.1,72.1,13.3,13.5,0.983,9.7,26.6,39.8,28.6,77.9,3.1,6.1,0.946
UC Riverside,65.3,1.0,23.9,54.0,0.964,0.95,0.902,50.7,107.3,32.3,52.2,72.9,7.0,21.6,5.6,25.5,34.1,18.9,79.8,50.9,1.3,5.2,12.8,12.2,1.05,0.539,0.571,67.7,16.3,64.3,-1.0,42.6,47.1,101.0,30.2,47.8,72.3,11.6,10.7,1.083,6.5,23.9,32.8,20.2,81.1,2.6,5.2,0.938
App State,65.3,0.0,23.3,56.7,0.98,0.98,0.957,48.4,101.7,33.5,46.9,66.6,8.2,24.5,7.6,22.9,33.6,23.5,75.5,49.2,2.2,5.4,12.1,10.5,1.154,0.516,0.444,66.6,13.2,65.3,0.0,43.7,49.8,105.2,33.0,50.0,75.7,13.7,11.6,1.177,7.5,24.8,34.7,24.5,76.5,3.2,5.4,0.937
N Florida,65.2,-8.4,22.1,55.1,0.918,1.037,0.894,48.1,103.5,32.4,47.7,73.1,8.8,27.1,7.4,22.0,32.4,23.5,66.1,44.9,4.4,5.1,11.5,14.9,0.768,0.286,0.375,71.0,16.1,73.6,8.4,43.7,48.8,103.2,33.9,48.0,68.3,14.7,11.5,1.272,11.3,24.2,39.9,33.9,76.5,3.1,8.4,0.997
Pacific,65.2,-8.4,23.4,57.0,0.924,1.044,0.929,46.2,99.3,31.4,45.8,68.3,5.9,18.9,7.1,23.1,32.4,21.3,79.1,48.2,2.4,6.3,11.5,12.1,0.95,0.214,0.75,70.6,16.9,73.6,8.4,46.6,54.9,116.0,39.2,52.1,76.9,12.8,13.0,0.984,6.1,26.1,34.8,20.9,78.7,2.4,5.3,0.902
Presbyterian,65.2,-4.8,23.7,58.4,0.937,1.006,0.953,45.4,97.7,26.1,49.0,68.9,5.6,21.4,10.2,21.0,35.0,31.1,77.0,52.2,2.7,7.4,12.0,13.4,0.895,0.31,0.313,69.6,19.2,70.0,4.8,46.1,53.4,114.5,38.4,50.8,73.2,12.7,14.3,0.887,6.3,22.7,32.1,23.0,68.9,3.5,6.8,0.884
Duquesne,65.2,-8.2,24.7,61.4,0.937,1.055,0.975,45.4,96.2,30.5,45.2,70.7,6.2,20.5,9.7,21.5,34.1,27.3,70.7,47.4,4.4,6.6,10.0,11.5,0.872,0.2,0.286,69.6,13.9,73.4,8.2,47.6,54.0,111.8,39.8,51.3,70.8,15.1,12.9,1.171,8.9,25.8,37.9,29.3,72.7,4.1,6.0,0.943
