Team,points-per-game,average-scoring-margin,field-goals-made-per-game,field-goals-attempted-per-game,offensive-efficiency,defensive-efficiency,effective-possession-ratio,effective-field-goal-pct,true-shooting-percentage,three-point-pct,two-point-pct,free-throw-pct,three-pointers-made-per-game,three-pointers-attempted-per-game,offensive-rebounds-per-game,defensive-rebounds-per-game,total-rebounds-per-game,offensive-rebounding-pct,defensive-rebounding-pct,total-rebounding-percentage,blocks-per-game,steals-per-game,assists-per-game,turnovers-per-game,assist--per--turnover-ratio,win-pct-all-games,win-pct-close-games,possessions-per-game,personal-fouls-per-game,opponent-points-per-game,opponent-average-scoring-margin,opponent-shooting-pct,opponent-effective-field-goal-pct,opponent-true-shooting-percentage,opponent-three-point-pct,opponent-two-point-pct,opponent-free-throw-pct,opponent-assists-per-game,opponent-turnovers-per-game,opponent-assist--per--turnover-ratio,opponent-offensive-rebounds-per-game,opponent-defensive-rebounds-per-game,opponent-total-rebounds-per-game,opponent-offensive-rebounding-pct,opponent-defensive-rebounding-pct,opponent-blocks-per-game,opponent-steals-per-game,opponent-effective-possession-ratio
W Michigan,65.0,-11.2,23.5,56.3,0.949,1.112,0.915,49.3,103.6,33.2,48.9,70.0,8.5,25.7,7.8,21.8,32.8,24.6,69.0,47.4,2.4,5.2,10.3,13.6,0.756,0.214,0.4,68.5,16.8,76.3,11.2,46.6,53.4,111.8,33.8,55.3,69.7,13.6,10.1,1.351,9.8,23.8,36.4,31.0,75.4,4.0,7.1,0.996
Elon,65.0,-7.5,23.2,55.7,0.95,1.06,0.91,49.0,104.0,33.0,48.6,72.9,8.1,24.4,7.2,22.2,32.5,23.2,72.9,47.9,2.3,4.9,11.8,13.3,0.883,0.267,0.286,68.4,20.5,72.6,7.5,44.0,50.6,111.0,34.5,49.9,75.1,11.7,11.1,1.054,8.3,23.7,35.4,27.1,76.8,3.3,7.5,0.959
Grambling St,65.0,-7.3,23.1,57.5,0.902,1.002,0.928,44.6,97.5,31.1,43.8,71.4,5.0,16.2,8.9,23.4,35.5,25.7,70.4,47.8,3.3,6.3,10.5,14.1,0.744,0.333,0.571,72.1,18.8,72.3,7.3,42.5,48.9,105.3,35.7,46.3,68.7,12.6,13.6,0.929,9.8,25.6,38.8,29.6,74.3,4.7,6.9,0.948
Incar Word,65.0,-12.7,22.3,54.9,0.942,1.127,0.9,48.2,104.8,33.5,46.4,80.9,8.3,24.8,6.8,20.1,28.9,21.3,68.6,44.3,1.7,4.9,11.1,13.7,0.813,0.172,0.2,68.9,17.7,77.7,12.7,50.1,56.7,117.9,37.0,57.4,71.1,14.3,12.3,1.159,9.2,24.9,36.3,31.4,78.7,2.4,6.5,0.954
Ark Pine Bl,64.9,-14.4,22.5,55.5,0.917,1.12,0.914,46.6,100.9,29.8,47.9,70.9,6.7,22.5,7.4,18.6,29.0,22.9,65.3,43.2,2.7,6.9,11.0,13.5,0.816,0.172,0.4,70.8,17.9,79.3,14.4,50.0,55.3,116.6,35.9,55.9,72.8,15.8,13.0,1.218,9.9,25.0,38.2,34.7,77.1,3.6,7.8,0.957
TX-San Ant,64.9,-9.0,24.0,62.0,0.917,1.044,0.968,43.6,93.4,28.7,43.9,68.6,6.0,21.0,10.0,22.6,36.6,27.1,74.7,49.6,2.2,5.4,10.7,12.2,0.874,0.25,0.286,70.8,16.8,73.9,9.0,47.0,54.3,112.5,37.7,53.0,65.0,14.9,11.8,1.267,7.7,26.8,37.3,25.3,72.9,3.9,6.6,0.942
TX-Arlington,64.8,-4.6,23.3,57.9,0.924,0.989,0.939,45.7,98.1,31.0,45.3,69.4,6.2,20.0,9.6,23.0,35.8,28.7,70.2,49.0,4.2,7.7,13.0,13.9,0.939,0.333,0.333,70.1,18.1,69.3,4.6,42.4,49.4,105.4,35.5,46.8,70.7,15.7,13.9,1.136,9.7,23.9,37.2,29.8,71.3,3.1,6.7,0.941
Missouri,64.7,-6.2,23.6,55.6,0.936,1.026,0.921,47.1,101.8,28.1,49.4,74.1,5.1,18.1,9.2,22.3,34.6,29.6,72.9,50.9,4.1,6.4,11.9,14.6,0.816,0.344,0.286,69.1,17.8,70.8,6.2,44.5,50.8,108.3,35.2,49.7,70.2,12.0,12.1,0.995,8.3,21.8,33.3,27.1,70.4,3.7,7.4,0.945
Penn State,64.6,-0.4,23.9,55.2,0.998,1.004,0.939,50.5,106.0,34.2,49.9,73.5,8.0,23.5,7.9,25.0,35.3,26.6,77.3,53.0,2.2,5.3,11.9,11.8,1.005,0.452,0.417,64.7,15.4,65.0,0.4,41.6,48.3,102.9,35.2,45.6,72.9,12.9,8.7,1.476,7.3,21.7,31.4,22.7,73.4,3.2,6.0,0.978
NC-Grnsboro,64.6,-0.5,23.3,54.2,0.991,0.998,0.94,49.8,105.5,34.4,48.6,71.8,7.4,21.4,8.9,22.8,34.5,30.5,77.0,53.5,1.6,6.5,12.0,12.8,0.937,0.516,0.563,65.2,15.4,65.1,0.5,41.8,50.4,108.0,34.9,48.6,76.6,12.5,11.8,1.057,6.8,20.3,30.0,23.0,69.5,2.6,6.8,0.923
Sac State,64.5,-6.7,23.7,55.1,0.953,1.052,0.928,48.8,103.2,35.1,46.9,68.9,6.4,18.4,6.2,21.6,30.4,19.7,74.5,46.0,2.7,5.8,10.4,11.1,0.943,0.333,0.5,67.7,17.3,71.2,6.7,46.3,52.6,111.8,34.2,53.4,72.4,13.4,11.7,1.145,7.4,25.4,35.7,25.5,80.3,2.9,5.4,0.936
Campbell,64.5,0.9,24.2,53.6,0.995,0.98,0.928,51.3,106.9,33.0,52.4,67.3,6.7,20.3,5.8,22.3,30.9,19.9,75.4,48.6,2.2,5.8,13.5,10.4,1.292,0.5,0.5,64.9,13.9,63.6,-0.9,43.9,50.6,105.3,35.3,49.1,65.0,10.8,11.7,0.931,7.3,23.2,32.7,24.6,80.1,3.1,6.0,0.933
WI-Milwkee,64.5,-6.9,23.5,55.9,0.932,1.032,0.918,47.7,101.8,31.9,47.5,71.5,6.2,19.4,7.6,25.2,35.4,24.0,71.7,49.0,3.7,4.8,11.4,13.3,0.859,0.29,0.2,69.2,17.0,71.4,6.9,40.5,47.5,103.1,33.8,45.3,76.9,13.1,10.1,1.304,9.9,24.0,36.9,28.3,76.0,3.1,6.6,0.998
Mt St Marys,64.4,-1.0,24.3,55.9,0.956,0.971,0.932,48.6,102.5,34.0,47.6,68.5,5.8,16.9,8.6,22.4,34.5,28.0,73.4,50.8,4.1,5.8,12.9,13.1,0.984,0.448,0.5,67.4,15.7,65.4,1.0,43.0,48.6,103.8,33.9,47.4,74.6,11.0,12.4,0.889,8.1,22.0,33.4,26.6,72.0,2.8,7.1,0.937
Northeastrn,64.3,-4.8,22.9,52.4,0.96,1.032,0.896,50.1,107.1,32.0,51.6,73.4,6.8,21.2,7.0,22.9,32.0,24.6,77.8,51.6,2.7,4.7,11.4,14.0,0.813,0.29,0.444,66.9,15.2,69.1,4.8,45.4,51.7,109.5,34.3,51.9,75.6,11.8,10.3,1.147,6.5,21.4,30.0,22.2,75.4,2.2,7.3,0.943
Jacksonville,64.2,3.1,23.4,54.2,1.005,0.956,0.967,48.6,103.5,34.5,47.2,69.7,5.8,16.9,9.6,23.8,36.5,31.7,78.0,55.1,1.6,5.6,11.5,11.7,0.987,0.63,0.714,63.9,15.6,61.1,-3.1,40.4,47.2,101.7,29.3,49.9,72.0,10.2,10.3,0.993,6.7,20.6,29.7,22.0,68.3,3.7,5.6,0.944
North Texas,64.2,7.7,22.1,50.4,1.032,0.908,0.958,51.4,108.1,35.8,49.7,65.4,7.6,21.2,8.7,21.9,33.4,29.8,77.9,52.9,2.8,6.3,10.8,11.4,0.947,0.767,0.7,62.2,16.1,56.5,-7.7,42.1,46.3,99.5,28.8,47.6,68.1,8.4,11.8,0.707,6.2,20.5,29.7,22.1,70.2,2.5,5.6,0.909
Navy,64.2,3.4,23.6,55.7,0.96,0.909,0.954,47.5,100.5,32.3,47.0,65.6,5.6,17.5,9.8,23.7,37.2,31.5,78.1,54.0,3.3,6.7,11.8,12.9,0.913,0.645,0.556,66.9,16.1,60.8,-3.4,41.0,47.3,101.0,33.2,45.7,68.3,12.1,13.2,0.912,6.6,21.4,31.7,21.9,68.5,3.5,7.0,0.902
N Alabama,64.2,-8.1,23.0,61.5,0.896,1.01,0.958,43.2,93.8,29.2,42.8,75.1,7.2,24.5,9.0,22.5,34.3,24.3,72.2,46.2,3.1,5.8,8.2,12.0,0.682,0.192,0.167,71.6,18.7,72.3,8.1,44.5,50.2,107.7,33.7,50.1,69.5,11.5,13.3,0.867,8.7,28.0,39.9,27.8,75.7,4.1,6.2,0.936
N Illinois,64.1,-7.4,23.0,54.9,0.91,1.016,0.899,47.2,101.0,31.7,47.1,67.5,5.8,18.4,6.6,22.0,32.3,21.1,71.7,47.1,2.7,6.3,11.2,13.7,0.82,0.3,0.429,70.4,20.4,71.5,7.4,44.7,50.6,109.5,32.3,51.8,72.5,13.3,13.6,0.978,8.7,24.6,36.3,28.3,78.9,4.6,6.4,0.931
AR Lit Rock,64.1,-11.3,22.2,53.6,0.927,1.09,0.901,47.9,103.6,33.3,46.6,73.2,6.9,20.8,7.0,19.8,29.6,22.1,70.7,45.6,2.2,6.3,12.2,13.8,0.879,0.24,0.8,69.1,17.0,75.4,11.3,48.7,56.3,117.5,38.4,55.5,71.4,15.7,13.6,1.156,8.2,24.6,35.2,29.3,77.9,2.6,6.1,0.922
San Diego,63.9,-4.8,24.2,57.3,0.928,0.997,0.931,46.7,99.5,32.1,46.2,71.3,5.1,15.8,7.8,23.7,35.0,24.1,74.7,49.8,3.6,4.8,9.4,12.6,0.75,0.448,0.444,68.9,15.9,68.7,4.8,44.6,49.2,104.1,33.2,49.0,73.5,12.9,10.8,1.194,8.0,24.5,35.2,25.3,75.9,3.0,6.0,0.959
UC Irvine,63.9,2.5,23.2,54.0,0.964,0.926,0.929,47.6,103.7,32.1,47.4,78.0,5.0,15.4,8.7,23.7,35.0,29.0,74.3,51.9,3.6,5.5,10.2,13.4,0.76,0.565,0.667,66.3,18.3,61.4,-2.5,39.8,44.1,97.1,26.4,46.2,74.9,10.5,11.2,0.938,8.2,21.2,32.4,25.7,71.0,2.7,6.0,0.954
Charl South,63.9,-13.4,22.5,57.2,0.897,1.085,0.911,46.2,98.3,30.1,47.1,67.7,7.9,26.1,8.6,22.6,33.7,24.8,75.6,48.4,2.5,6.3,10.9,15.0,0.726,0.107,0.333,71.2,16.1,77.2,13.4,48.5,55.3,116.7,36.1,56.0,75.9,15.2,12.1,1.253,7.3,26.1,36.0,24.4,75.2,3.0,7.8,0.932
S Illinois,63.7,2.1,22.8,51.7,0.994,0.961,0.914,51.5,108.1,35.1,50.6,69.0,7.6,21.6,5.9,21.7,30.3,20.5,78.6,49.4,2.1,5.5,11.7,11.4,1.026,0.5,0.385,64.1,15.3,61.6,-2.1,44.5,49.7,106.4,32.4,50.2,75.9,10.6,11.8,0.901,5.9,22.7,31.0,21.4,79.5,3.4,5.8,0.908
GA Southern,63.6,-4.0,23.2,54.4,0.931,0.989,0.917,47.8,101.6,29.2,50.1,67.1,5.8,19.7,8.5,22.9,33.9,27.2,70.6,48.4,3.0,6.8,11.2,14.2,0.789,0.385,0.625,68.3,18.4,67.6,4.0,41.8,48.3,103.7,33.0,47.4,69.2,11.7,12.7,0.924,9.5,22.7,36.2,29.4,72.8,3.0,7.4,0.954
Florida A&M,63.6,-5.4,23.7,56.4,0.923,1.001,0.929,45.9,98.8,29.7,46.3,70.6,4.4,14.9,7.8,21.7,32.5,24.7,67.3,46.1,3.0,6.0,11.6,12.6,0.924,0.393,0.778,68.9,17.8,69.0,5.4,42.1,48.2,103.4,34.3,46.4,67.2,12.3,12.4,0.991,10.6,23.6,38.0,32.7,75.3,2.3,6.3,0.973
American,63.5,-7.5,24.4,54.3,0.94,1.051,0.903,49.6,104.3,33.1,49.6,69.4,5.0,15.2,6.8,21.2,30.7,23.2,73.5,48.1,3.1,6.5,12.2,13.3,0.913,0.313,0.167,67.5,14.9,70.9,7.5,47.3,53.3,111.2,34.7,53.9,69.2,13.5,11.5,1.18,7.7,22.6,33.1,26.5,76.8,3.2,6.8,0.944
Hampton,63.2,-7.5,21.7,55.4,0.892,0.998,0.915,44.2,97.1,29.5,44.2,69.7,5.7,19.4,6.5,24.0,33.7,19.5,70.2,45.9,3.7,4.7,9.6,12.5,0.767,0.269,0.75,70.9,18.7,70.7,7.5,42.4,47.4,101.7,29.8,48.8,66.4,11.3,11.3,1.007,10.2,26.9,39.7,29.8,80.5,3.1,6.2,0.985
Tarleton State,63.1,-2.7,22.2,53.5,0.95,0.991,0.934,46.3,101.7,30.9,46.3,75.4,5.2,16.8,7.5,18.4,29.3,24.3,67.5,45.7,2.1,7.5,10.5,11.8,0.885,0.393,0.333,66.4,17.9,65.8,2.7,45.3,52.4,110.9,32.9,54.7,70.0,13.6,16.0,0.853,8.9,23.2,34.8,32.5,75.7,5.2,4.8,0.893
Wm & Mary,63.1,-12.0,22.3,55.8,0.878,1.045,0.882,46.0,98.9,31.1,45.5,70.0,6.8,21.8,7.8,22.8,34.7,24.0,73.4,49.1,2.9,6.4,11.2,16.3,0.69,0.129,0.375,71.9,16.9,75.2,12.0,46.7,53.6,111.9,33.7,55.7,70.3,14.5,12.6,1.151,8.3,24.7,35.9,26.6,76.0,4.9,9.1,0.94
Holy Cross,63.1,-9.0,23.0,57.0,0.921,1.052,0.942,45.1,97.4,33.1,43.2,71.2,5.4,16.4,8.2,21.8,32.9,24.8,72.4,47.7,3.7,5.6,9.6,12.2,0.785,0.241,0.857,68.5,17.2,72.0,9.0,47.3,53.2,111.3,36.1,52.7,68.7,13.8,11.8,1.173,8.3,24.8,36.0,27.6,75.2,3.5,5.9,0.95
Butler,63.1,-4.7,22.4,54.8,0.938,1.008,0.933,47.1,100.6,29.7,48.9,68.9,6.8,22.9,7.5,21.5,32.9,24.2,73.6,49.1,2.1,5.1,10.6,12.0,0.887,0.387,0.444,67.2,16.8,67.8,4.7,44.0,49.9,106.3,31.1,51.9,72.0,12.1,11.2,1.08,7.7,23.5,34.1,26.4,75.8,4.5,5.7,0.948
California,63.1,-3.0,23.6,56.2,0.942,0.987,0.941,46.9,100.2,30.8,47.3,72.7,5.5,17.8,7.3,24.6,35.0,23.1,79.0,50.9,2.6,4.9,10.7,11.2,0.953,0.375,0.333,66.9,16.5,66.1,3.0,42.1,47.5,103.4,30.9,48.1,75.9,9.8,9.6,1.023,6.5,24.1,33.8,21.0,76.9,3.4,5.8,0.954
Maryland ES,62.8,-6.0,21.9,56.7,0.873,0.956,0.901,45.4,96.4,31.2,44.3,64.2,7.6,24.4,8.3,21.4,33.3,25.2,71.0,47.5,2.2,9.4,11.8,15.5,0.765,0.333,0.75,71.9,17.4,68.7,6.0,44.5,51.0,108.1,33.7,51.3,68.3,13.5,16.8,0.806,8.8,24.8,36.8,29.0,74.8,3.4,6.9,0.889
S Mississippi,62.7,-13.2,23.6,56.0,0.905,1.095,0.909,46.9,99.4,31.0,47.0,68.7,5.2,16.7,7.1,23.2,33.1,22.3,72.9,47.7,2.7,4.6,11.9,13.4,0.885,0.161,0.5,69.3,16.3,75.9,13.2,46.1,54.1,113.2,37.4,52.6,71.5,15.7,10.8,1.454,8.6,24.9,36.3,27.1,77.7,2.8,7.0,0.969
Austin Peay,62.6,-6.6,22.4,56.3,0.92,1.018,0.928,46.6,99.1,30.8,46.9,70.3,7.7,25.0,9.3,20.5,33.0,27.8,71.1,48.3,2.0,6.2,13.2,14.3,0.927,0.37,0.556,68.1,17.0,69.3,6.6,46.4,52.5,111.0,33.2,54.1,69.2,13.2,14.0,0.947,8.3,24.3,35.3,28.9,72.2,3.5,7.2,0.917
Beth-Cook,62.5,-8.0,23.3,56.6,0.903,1.019,0.925,45.4,97.2,33.7,43.7,68.1,4.9,14.4,8.2,20.3,32.0,25.2,70.2,47.5,2.4,7.8,10.4,13.4,0.778,0.276,0.444,69.2,17.4,70.5,8.0,45.4,51.5,110.5,32.9,52.8,73.8,13.5,13.8,0.98,8.7,24.3,35.3,29.8,74.8,4.7,6.9,0.926
NJIT,62.5,-8.5,22.4,55.0,0.905,1.028,0.918,46.5,99.1,32.6,45.1,66.7,6.4,19.7,7.0,24.1,33.7,21.6,74.8,47.6,3.5,5.9,10.1,12.6,0.797,0.357,0.778,69.0,15.9,71.0,8.5,44.0,51.0,107.2,34.0,51.0,70.0,14.1,11.3,1.254,8.1,25.4,37.1,25.2,78.4,3.3,6.7,0.954
San Jose St,62.5,-10.8,23.0,54.7,0.93,1.09,0.902,49.8,103.3,34.5,48.2,65.6,8.4,24.5,6.6,21.0,30.2,20.9,71.4,45.3,3.2,5.1,12.4,13.2,0.935,0.233,0.4,67.2,16.4,73.3,10.8,47.4,53.5,112.1,35.8,53.4,72.3,14.5,10.4,1.391,8.4,25.1,36.4,28.6,79.1,2.6,6.2,0.971
Virginia,62.4,2.3,23.3,52.0,1.012,0.975,0.96,49.7,105.9,32.3,50.3,73.0,5.0,15.6,7.2,21.6,31.3,25.1,74.1,49.9,4.3,5.7,14.1,9.7,1.454,0.6,0.6,61.7,13.7,60.1,-2.3,42.5,48.8,102.8,33.6,47.9,71.2,11.6,11.0,1.055,7.6,21.5,31.5,25.9,74.9,3.6,5.5,0.944
Idaho State,62.4,-9.7,21.9,53.1,0.923,1.066,0.908,47.4,101.5,29.6,49.6,68.4,6.6,22.4,7.7,21.2,32.1,25.1,75.0,49.0,2.2,4.6,10.0,13.9,0.718,0.179,0.25,67.6,18.4,72.0,9.7,47.0,53.2,113.4,34.1,54.5,73.5,11.7,11.0,1.062,7.1,23.0,33.4,25.0,74.9,2.6,6.9,0.942
Chicago St,62.1,-12.3,21.9,56.0,0.9,1.078,0.925,45.9,97.4,31.0,45.4,65.4,7.6,24.5,9.6,19.8,33.3,29.7,69.0,48.3,2.3,5.5,9.5,14.8,0.639,0.219,0.6,69.0,19.7,74.4,12.3,46.3,53.5,114.0,39.9,49.8,72.5,14.5,12.7,1.14,8.9,22.8,35.7,31.0,70.3,3.4,6.6,0.945
Albany,61.8,-4.0,23.0,56.2,0.907,0.967,0.92,46.2,98.4,32.3,45.2,70.4,5.9,18.2,6.9,21.6,32.0,22.3,76.6,48.4,2.5,6.7,9.4,12.4,0.762,0.419,0.778,68.1,18.0,65.9,4.0,43.9,50.7,108.1,35.5,49.1,72.2,12.5,13.6,0.917,6.6,24.0,34.2,23.4,77.7,4.4,5.3,0.897
Radford,61.8,-5.3,22.3,55.2,0.921,1.0,0.924,46.5,98.9,29.8,47.7,68.0,6.7,22.5,8.4,21.3,33.1,26.8,75.5,50.0,1.5,6.4,10.4,13.5,0.77,0.333,0.5,67.1,17.9,67.1,5.3,45.4,52.0,111.3,35.4,51.3,72.7,11.3,13.3,0.855,6.9,23.0,33.2,24.5,73.2,3.3,6.8,0.906
CS Bakersfld,61.8,-5.6,23.2,56.3,0.935,1.02,0.972,44.4,96.3,28.3,44.9,71.3,3.6,12.9,9.8,20.8,33.6,31.2,76.2,51.4,2.0,5.6,9.2,11.6,0.79,0.24,0.333,66.1,20.8,67.4,5.6,44.2,51.4,113.1,35.2,50.5,75.1,11.2,13.0,0.865,6.5,21.6,31.8,23.8,68.8,2.4,5.6,0.901
Central Conn,61.8,-10.3,21.6,54.8,0.899,1.05,0.906,46.0,99.0,34.2,42.6,70.8,7.3,21.5,7.3,21.0,31.9,23.4,69.9,46.6,2.2,6.2,10.6,13.8,0.771,0.25,0.5,68.7,16.1,72.1,10.3,46.1,52.9,111.1,34.8,53.3,71.0,13.9,12.6,1.099,9.0,24.1,36.5,30.1,76.6,3.8,7.1,0.948
Pittsburgh,61.5,-6.5,21.1,50.9,0.94,1.04,0.928,46.7,101.8,31.4,46.5,69.6,5.4,17.1,8.9,22.3,33.8,29.6,76.1,52.1,3.8,5.4,11.0,13.6,0.809,0.344,0.462,65.4,15.3,68.1,6.5,44.1,52.0,109.6,36.8,49.5,71.0,14.5,10.6,1.365,7.0,21.2,31.1,23.9,70.4,3.1,6.6,0.945
Alab A&M,61.4,-5.6,21.9,57.8,0.862,0.94,0.943,41.2,91.7,27.1,41.4,71.3,3.9,14.4,9.5,23.9,37.8,27.2,70.8,48.8,3.2,7.0,9.5,13.6,0.7,0.4,0.5,71.3,16.1,67.0,5.6,40.1,46.3,98.8,32.0,45.2,68.4,13.5,13.6,0.993,9.9,25.4,39.6,29.2,72.8,2.9,7.5,0.948
WI-Grn Bay,61.2,-8.4,22.0,52.9,0.924,1.051,0.914,46.5,100.5,28.0,48.9,71.1,5.1,18.2,7.2,19.4,29.6,23.8,72.6,47.7,2.8,5.0,10.5,12.9,0.811,0.138,0.0,66.3,15.6,69.7,8.4,47.0,53.0,113.3,34.7,53.6,76.8,11.9,11.8,1.015,7.3,23.0,32.5,27.4,76.2,3.0,7.1,0.933
Jackson St,61.0,-4.5,23.1,56.7,0.899,0.966,0.946,45.3,95.4,30.0,45.5,63.4,5.2,17.2,9.5,22.6,35.1,29.5,74.6,51.0,3.9,6.1,10.8,13.2,0.823,0.367,0.364,67.8,17.1,65.5,4.5,43.0,47.7,102.8,32.2,47.5,69.1,11.3,12.1,0.931,7.7,22.7,33.7,25.4,70.5,3.5,6.6,0.935
Merrimack,60.9,-4.0,22.2,53.1,0.928,0.99,0.913,48.6,102.2,33.3,47.7,67.9,7.1,21.4,6.1,19.1,28.4,20.0,65.3,43.0,3.7,8.8,11.3,11.8,0.959,0.448,0.571,65.6,16.1,64.9,4.0,43.4,49.1,105.4,33.2,48.7,71.3,13.7,14.4,0.947,10.2,24.5,37.6,34.7,80.0,2.9,6.0,0.935
Lamar,60.9,-13.3,22.7,56.9,0.881,1.073,0.923,44.5,95.1,30.2,44.1,68.5,5.3,17.4,9.2,21.6,34.0,27.6,70.6,48.4,3.0,6.0,11.0,14.5,0.76,0.0,0.0,69.1,18.6,74.1,13.3,45.3,52.9,112.5,35.5,52.7,70.8,17.1,12.0,1.426,9.0,24.1,36.3,29.4,72.4,3.2,7.6,0.957
Maine,60.7,-13.0,23.0,56.2,0.898,1.091,0.916,46.9,98.5,31.0,47.0,70.5,6.7,21.7,7.1,20.0,30.3,21.9,71.4,45.6,2.8,6.6,12.8,12.8,1.0,0.115,0.25,67.6,17.6,73.8,13.0,48.2,54.9,115.6,38.6,53.3,72.4,13.1,12.1,1.083,8.0,25.3,36.1,28.6,78.1,2.7,6.6,0.939
Delaware St,60.6,-15.2,21.5,54.2,0.832,1.042,0.855,45.0,96.9,32.2,43.4,67.4,5.7,17.8,7.6,22.1,33.9,23.8,66.9,46.6,3.8,6.6,8.9,18.2,0.489,0.0,0.0,72.8,18.4,75.8,15.2,42.9,51.1,108.7,36.1,48.6,70.6,16.4,13.7,1.202,10.9,24.3,38.8,33.1,76.2,3.6,8.4,0.962
Cal St Nrdge,60.6,-10.6,22.2,55.6,0.896,1.053,0.943,44.4,95.6,30.2,44.0,68.5,5.0,16.5,8.4,20.1,31.0,25.2,69.7,45.5,2.4,7.1,8.8,12.3,0.714,0.214,0.6,67.6,19.1,71.2,10.6,45.6,51.9,112.1,33.2,53.1,76.1,14.1,13.1,1.076,8.8,24.9,37.1,30.3,74.8,2.7,5.2,0.935
Cal Poly,60.6,-7.3,20.9,51.0,0.898,1.006,0.888,46.1,101.4,29.5,47.2,73.1,5.3,18.1,7.4,23.5,34.4,25.4,74.8,51.0,2.3,4.5,10.6,14.9,0.711,0.222,0.333,67.4,19.5,67.9,7.3,41.5,48.1,105.6,36.0,44.7,75.6,11.4,11.2,1.017,7.9,21.7,33.1,25.2,74.6,2.6,6.2,0.951
Air Force,59.0,-7.0,21.6,49.6,0.917,1.026,0.864,50.9,105.7,33.3,51.6,64.9,7.2,21.6,4.9,19.2,26.6,17.2,71.3,44.6,3.0,5.4,12.5,13.6,0.916,0.379,0.714,64.4,18.0,66.0,7.0,46.3,51.5,111.9,31.2,53.8,76.0,10.9,12.9,0.85,7.7,23.5,33.0,28.7,82.8,3.3,5.4,0.92
Evansville,58.8,-12.3,20.7,52.7,0.885,1.07,0.889,47.0,99.9,32.6,45.2,71.5,8.1,24.8,3.9,21.5,27.1,12.5,79.7,43.5,2.0,6.0,10.3,11.3,0.915,0.172,0.125,66.5,15.0,71.2,12.3,49.6,56.1,117.7,38.4,55.3,73.4,12.0,11.7,1.026,5.5,27.6,35.2,20.3,87.5,2.4,5.3,0.906
S Florida,57.5,-7.5,21.6,57.7,0.849,0.959,0.952,41.3,88.8,25.2,42.8,66.6,4.5,17.6,9.3,22.7,35.9,27.1,75.4,50.0,3.7,6.2,10.9,12.5,0.871,0.258,0.429,67.7,17.1,64.9,7.5,41.3,48.3,104.0,33.8,46.6,71.3,13.2,12.5,1.062,7.4,25.0,35.9,24.6,72.9,3.7,5.6,0.926
E Illinois,54.0,-17.9,19.3,50.4,0.798,1.062,0.847,44.1,93.8,31.7,42.1,63.1,5.8,18.4,5.6,20.0,29.0,18.3,68.2,43.9,2.7,6.3,11.2,16.0,0.702,0.071,0.333,67.7,14.6,71.9,17.9,46.4,53.8,111.2,33.8,56.3,67.5,16.4,12.1,1.357,9.3,25.2,37.0,31.8,81.7,4.3,8.8,0.959
IUPUI,51.3,-17.1,18.9,50.5,0.792,1.056,0.867,42.4,90.8,29.2,41.6,67.4,5.1,17.5,7.9,19.0,30.4,26.5,68.5,47.6,2.3,5.6,10.1,16.4,0.615,0.037,0.0,64.8,18.0,68.4,17.1,45.3,52.8,113.4,35.6,52.4,74.5,12.5,13.0,0.966,8.7,21.7,33.4,31.5,73.5,3.1,7.6,0.935
